,Name,URLS,Treatment
1,Alpha-1 antitrypsin deficiency,/diseases/5784/alpha-1-antitrypsin-deficiency,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
2,Alopecia areata,/diseases/5782/alopecia-areata,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
3,Amyloidosis AA,/diseases/10560/amyloidosis-aa,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
4,Triple A syndrome,/diseases/457/triple-a-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
5,Aromatic L-amino acid decarboxylase deficiency,/diseases/770/aromatic-l-amino-acid-decarboxylase-deficiency,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
6,Johnson neuroectodermal syndrome,/diseases/378/johnson-neuroectodermal-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
7,Aagenaes syndrome,/diseases/370/aagenaes-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
8,Tangier disease,/diseases/7731/tangier-disease,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
9,Balkan endemic nephropathy,/diseases/8576/balkan-endemic-nephropathy,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
10,Attenuated familial adenomatous polyposis,/diseases/8532/attenuated-familial-adenomatous-polyposis,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
