,Name,URLS
1,Alpha-1 antitrypsin deficiency,/diseases/5784/alpha-1-antitrypsin-deficiency
2,Alopecia areata,/diseases/5782/alopecia-areata
3,Amyloidosis AA,/diseases/10560/amyloidosis-aa
4,Triple A syndrome,/diseases/457/triple-a-syndrome
5,Aromatic L-amino acid decarboxylase deficiency,/diseases/770/aromatic-l-amino-acid-decarboxylase-deficiency
6,Johnson neuroectodermal syndrome,/diseases/378/johnson-neuroectodermal-syndrome
7,Aagenaes syndrome,/diseases/370/aagenaes-syndrome
8,Tangier disease,/diseases/7731/tangier-disease
9,Balkan endemic nephropathy,/diseases/8576/balkan-endemic-nephropathy
10,Attenuated familial adenomatous polyposis,/diseases/8532/attenuated-familial-adenomatous-polyposis
11,Al-Awadi-Raas-Rothschild syndrome,/diseases/9212/al-awadi-raas-rothschild-syndrome
12,Aarskog syndrome,/diseases/4775/aarskog-syndrome
13,SHORT syndrome,/diseases/7633/short-syndrome
14,Diamond-Blackfan anemia,/diseases/6274/diamond-blackfan-anemia
15,Hydrocephalus-cleft palate-joint contractures syndrome,/diseases/5642/hydrocephalus-cleft-palate-joint-contractures-syndrome
16,Acquired amegakaryocytic thrombocytopenia,/diseases/9596/acquired-amegakaryocytic-thrombocytopenia
17,"Aortic aneurysm, familial thoracic 4",/diseases/9876/aortic-aneurysm-familial-thoracic-4
18,ANCA-associated vasculitis,/diseases/13011/anca-associated-vasculitis
19,Gamma aminobutyric acid transaminase deficiency,/diseases/194/gamma-aminobutyric-acid-transaminase-deficiency
20,Abderhalden Kaufmann Lignac syndrome,/diseases/10074/abderhalden-kaufmann-lignac-syndrome
21,Abdominal aortic aneurysm,/diseases/9181/abdominal-aortic-aneurysm
22,Abdominal chemodectomas with cutaneous angiolipomas,/diseases/1265/abdominal-chemodectomas-with-cutaneous-angiolipomas
23,Abdominal cystic lymphangioma,/diseases/439/abdominal-cystic-lymphangioma
24,Prune belly syndrome,/diseases/7479/prune-belly-syndrome
25,Abdominal obesity metabolic syndrome,/diseases/9226/abdominal-obesity-metabolic-syndrome
26,Athabaskan brainstem dysgenesis,/diseases/8333/athabaskan-brainstem-dysgenesis
27,Sixth nerve palsy,/diseases/9482/sixth-nerve-palsy
28,Spasmodic dysphonia,/diseases/7668/spasmodic-dysphonia
29,Schwartz Jampel syndrome,/diseases/250/schwartz-jampel-syndrome
30,Congenital extrahepatic portosystemic shunt,/diseases/10908/congenital-extrahepatic-portosystemic-shunt
31,Aberrant subclavian artery,/diseases/5706/aberrant-subclavian-artery
32,Abetalipoproteinemia,/diseases/5/abetalipoproteinemia
33,Ablepharon macrostomia syndrome,/diseases/3/ablepharon-macrostomia-syndrome
34,Ankylosis of teeth,/diseases/701/ankylosis-of-teeth
35,Hutchinson incisors,/diseases/8160/hutchinson-incisors
36,Allergic bronchopulmonary aspergillosis,/diseases/602/allergic-bronchopulmonary-aspergillosis
37,Dementia familial British,/diseases/8344/dementia-familial-british
38,Granular cell tumor,/diseases/9618/granular-cell-tumor
39,Abruzzo-Erickson syndrome,/diseases/360/abruzzo-erickson-syndrome
40,Anencephaly,/diseases/5808/anencephaly
41,Ectodermal dysplasia alopecia preaxial polydactyly,/diseases/2040/ectodermal-dysplasia-alopecia-preaxial-polydactyly
42,"Acrocallosal syndrome, Schinzel type",/diseases/5721/acrocallosal-syndrome-schinzel-type
43,Absence of fingerprints congenital milia,/diseases/2336/absence-of-fingerprints-congenital-milia
