Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Chilaiditi syndrome,"Treatment of Chilaiditisyndromeis directed at the individual symptoms present. In some cases, treatment is not needed. Reducing (or removing) the pressure within the abdomen may help alleviate symptoms.[1]This may be achieved through conservative measure that address constipation, pain and distention.[2]Surgical intervention may include removal of a portion of the color or the anchoring of the liver to the abdominal wall.[1]"
Perniosis,"The main method of treatment for perniosis focuses on avoiding exposure to cold. Individuals with this condition may be advised to keep the affected areas of their body warm by wearing insulated clothing, gloves, and footwear. The use of ultraviolet light at the beginning of cold, damp season may help prevent outbreaks. It is also suggested that people with this condition do not use cigarettes or nicotine. The use of certain medications, such as topicalsteroidsandnifedipine, a calcium channel blocker, have been effective in treating some individuals.[2][3]"
Children's interstitial lung disease,"There is no single treatment for interstitial lung diseases in children.  Different forms of chILD require different treatments and support depending on the condition. The goals of treatment for chILD is to relieve symptoms, provide support to maximize growth and development, and to prevent exposure to preventable illnesses that could make the chILD worse.  See theChildren's Interstitial and Diffuse Lung Disease Foundationfor more detailed information about treatment."
Childhood hepatocellular carcinoma,"The treatment for childhood hepatocellular carcinoma (childhood HCC) is dependent on a number of factors including thePRETEXT and POSTTEXT group. This is a way of describing thetumorbefore treatment (PRETEXT) and after treatment (POSTTEXT). The course of treatment is additionally dependent on whether or not a tumor can be initially removed with surgery and whether thecancerhas spread (metastasized) to other parts of the body.[2][5]Treatment options for a tumor that can be removed by surgery at the time of diagnosis may include:[2][5]Surgery alone to remove the tumorSurgery andchemotherapyCombination chemotherapyfollowed by surgery to remove the tumorTreatment options for a tumor that cannot be removed by surgery at the time of diagnosis may include:[2][5][1]Chemotherapy to shrink the tumor followed by surgeryChemotherapy to shrink the tumor and if surgery to remove the tumor is not possible: liver transplant orchemoembolizationof thehepatic arteryto shrink the tumorRadioembolizationof the hepatic artery to relieve symptoms and improvequality of lifeTreatment for a childhood HCC that has spread to other parts of the body may include a combination of chemotherapy and surgery to remove as much of the tumor from the liver as possible as well as other places where the cancer has spread. If the childhood HCC is related to ahepatitis Bviral infection, treatment may additionally includeantiviral medications.[5]"
Pseudohypoaldosteronism type 2,Pseudohypoaldosteronism may be treated withthiazide diuretics[4][5]and dietary restriction of sodium.[3]
Congenital chloride diarrhea,"Congenitalchloride diarrhea (CCD) is a lifelong disease, so treatment focuses on managing symptoms and preventing complications. Early diagnosis and treatment in the absence of major complications can lead to normal growth and development.[6]The main treatment is called saltsubstitutiontherapy (receiving sodium chloride and potassium chloride). Newborns are first given this therapy intravenously (by IV) and are later transitioned to oral therapy.[7]Diarrhea will persist through therapy even when there is adequate salt substitution, although the relative amount ofstoolgenerally decreases with age.[7][3]Treatment for episodes of acute gastroenteritis (""stomach flu"") in children with CCD is extremely important because they can experience rapid dehydration and loss of potassium (hypokalemia). These episodes should be treated with IV replacement of fluids and electrolytes. In adulthood, people with CCD are usually able to avoid dehydration by taking extra salt substitution.[3]"
Gilbert syndrome,"Gilbertsyndromegenerally doesn't require treatment. The bilirubin levels in the blood may fluctuate over time, causing episodes ofjaundice. However, the jaundice is usually mild and goes away on its own. In some cases, doctors may prescribephenobarbitalto lower extremely elevated bilirubin levels and reduce signs of jaundice. Phenobarbital administration usually alleviates signs of jaundice fairly quickly.[1][2]"
Intrahepatic cholestasis of pregnancy,"Treatment for intrahepatic cholestasis of pregnancy aims to relieve itching and prevent complications.
Medications utilized to relieve itching might includeursodiol(Actigall, Urso), which helps decrease the level of bile in the mother's bloodstream,
relieves itchiness and may reduce complications for the baby. To prevent
pregnancy complications, close monitoring of the baby might be
recommended. Even if prenatal tests appear normal, induction of early labor
might be recommended.[3]"
Cholesteatoma,"Initial treatment may involve careful cleaning of the ear,antibiotics, and eardrops. Therapy aims to stop drainage in the ear by controlling the infection.[4]Large or more complicated cholesteatomas may require surgery.[1][4]Cholesteatomas very often continue to grow if they are not removed. Surgery is usually successful.[4]"
Tietze syndrome,"In some individuals, the pain associated with Tietzesyndromeresolves on its own without any treatment. Management options for others may include avoidance of strenuous activity, applying heat or ice as directed by your doctor, taking pain medications, and/ornonsteroidal anti-inflammatory drugs.Some people benefit fromcorticosteroidor lidocaine injections if the pain does not respond to any other treatment.[1][2]"
