Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Primary carnitine deficiency,"Most individuals with primary carnitine deficiency are followed by ametabolic doctoras well as adieticianfamiliar with this condition. Certain treatments may be advised for some children but not others. Treatment is often needed throughout life. The main treatment for this condition is lifelong use ofL-carnitine, which is a natural substance that helps bodycellsmake energy. It also helps the body get rid of harmful wastes. L-carnitine can reverse the heart problems and muscle weakness caused by this condition.[3]In addition to L-carnitine, infants and young children with primary carnitine deficiency need to eat frequently to prevent a metabolic crisis. In general, it is often suggested that infants be fed every four to six hours. But some babies need to eat even more frequently than this. Many teens and adults with this condition can go without food for up to 12 hours without problems. Some children and teens benefit from a low-fat, highcarbohydratediet. Any diet changes should be made under the guidance of a metabolic specialist and/or dietician familiar with this condition. Ask your doctor whether your child needs to have any changes in his or her diet. Other treatments usually need to be continued throughout life.[3]Infants and children with this condition need to eat extra starchy food and drink more fluids during any illness, even if they may not feel hungry, because they could have a metabolic crisis. Children who are sick often do not want to eat. If they won’t or can’t eat, they may need to be treated in the hospital to prevent serious health problems.[3]"
Carnitine palmitoyl transferase 1 deficiency,"Treatment of CPT1A deficiency usually involves the support of ametabolic specialistand adieticianfamiliar with CPT1A deficiency. Treatment may differ depending on severity of symptoms and may be lifelong if necessary. Treatment may include:[3][2]Avoidance prolonged fasting/going a long time without foodIncorporation of a low-fat, highcarbohydratedietUse ofmedium Chain Triglyceride oil(special type of oil made up of medium chain triglycerides - a type of fatty acid)Children with CPT1A deficiency may require additional care during illness to avoid a metabolic crises. Call your healthcare provider should symptoms of an illness occur such as poor appetite, low energy or excessive sleepiness, vomiting, diarrhea, or fever.[2]"
Carnitine-acylcarnitine translocase deficiency,"Treatment includes:[2][6][4]Strict avoidance of fasting: Infants and young children with carnitine-acylcarnitine translocase (CACT) deficiency need to eat frequently to prevent a metabolic crisis. In general, it is often suggested that infants be fed every four to six hours, although some babies need to eat even more frequently than this (every 3 hours). It is important that infants be fed during the night. They may need to be woken up to eat if they do not wake up on their own.A low long-chain fat diet andmedium-chain triglycerides(MCT) supplementation: The MCT formula should be as low as possible in C10 and C12 fatty acids because high dietary intake of these can lead to a metabolic crisis.Medium Chain Triglyceride oil(MCT oil) is sometimes used as part of the food plan for people with CACT deficiency.Administration of a highcarbohydratediet: Carbohydrates give the body many types of sugar that can be used as energy. In fact, for children needing this treatment, most food in the diet should be carbohydrates (bread, pasta, fruit, vegetables, etc.) andprotein(lean meat and low-fat dairy food).Supplementation withL-carnitin: A safe and natural substance that helps bodycellsmake energy and get rid of harmful wastes. However, its benefits are not yet determined.Administration of intravenous glucose: In cases ofhypoglycemia,hyperammonemia, and for the prevention of lipolysis (the breakdown of fat stored in fat cells) in the newborn, which may be lifesaving.Other treatment options for milder cases with some residual CACT activity may be the administration of statins and fibrates that have been shown to increase the amount of CACT.[4]When children get sick, parents should call the doctor. Children with CACT deficiency need to eat extra starchy food and drink more fluids during any illness (even if they may not feel hungry) or they could develop a metabolic crisis.[2]"
Caroli disease,"Treatment for Caroli disease and Carolisyndromeis based on the signs and symptoms present in each person. For example, frequent episodes of bacterialcholangitiscan be treated withantibiotics. Fat soluble vitamin supplementation may be recommended in people withcholestasis. In severe cases of cholestasis, surgery (called a lobectomy) may be required. Stones that develop within the bile ducts may be dissolved with ursodeoxycholic acid or may require surgical removal, if feasible. In those withportal hypertension, medications may be prescribed to prevent bleeding and surgery to reroute blood flow (called portosystemic shunting) may be recommended in severe cases.[1][2]People who have recurrent infections, especially those who also have complications related to portalhypertension, may requireliver transplantation.[2]"
Tracheobronchopathia osteoplastica,"There is no specific treatment for tracheobronchopathia osteoplastica (TO). Recurrent infections and collapse of the lung are treated conventionally.[3]Inhaledcorticosteroidsmay have some impact on people in early stages of the condition, but whether they may be helpful for people with more advanced disease needs further study.[5]Occasionally,tracheostomymay be needed. Surgical treatment options may be considered when all conservative therapies have been unsuccessful. The long-term outlook (prognosis) for affected people is generally good, but usually depends on the extension and location of the lesions. It has been reported that over 55% of affected people do not have any disease progression following the diagnosis.[3]"
Cri du chat syndrome,"While there is no specific treatment available for cri du chatsyndrome, early intervention is recommended in the areas ofphysical therapy(achieving physical and motor milestones such as sitting and standing up), communication (speech therapy, sign language instruction), behavioral modification (for hyperactivity, short attention span, aggression), and learning (special education).[3]Because symptoms may vary from individual to individual, we recommend discussing these options with a health care professional to develop a personalized plan for therapy."
Cat eye syndrome,"Because cat eyesyndromeaffects many different systems of the body, medical management is often provided by a team of doctors and other healthcare professionals. Treatment for this condition varies based on the signs and symptoms present in each person. For example,congenital heart defects;anal atresia;cleft lip and/or palate; and certain skeletal abnormalities may require surgery. Children with delayed motor milestones (i.e. walking) may be referred forphysical therapyoroccupational therapy. Special education services are often necessary for children withintellectual disability.[4][1][2]"
Catamenial pneumothorax,"Treatment of choice is with surgery, with video-assisted thoracoscopic surgery (VATS). Conventional thoracotomy may be occasionally necessary, particularly in repeat operations. It is very important to examine the large, thintissuelining around the outside of the lungs and the inside of the chest cavity (pleura).[1]Hormonal treatment with surgery prevents the repeat of catamenial and/or endometriosis-related pneumothorax. Gonadotrophin-releasinghormone(GnRH) for 6 to 12 months after the surgery is also often recommended.[1]"
Cerulean cataract,"No treatment is known to prevent ceruleancataracts, and there is currently no cure for the condition. Frequent eye evaluations and eventual cataract surgery are typically required to preventamblyopia(vision loss) as the opacities progress.[2]The symptoms of early cataracts may be improved with new eyeglasses, brighter lighting, anti-glare sunglasses, or magnifying lenses. However, if these measures do not help, surgery is often the only effective treatment. Surgery involves removing the cloudy lens and replacing it with an artificial lens. Surgery is often considered when vision loss regularly interferes with everyday activities, such as driving, reading, or watching TV.[3]"
Galactosialidosis,"There is no cure for galactosialidosis. Treatment is symptomatic and supportive; for example, taking medication to controlseizures. Individuals with galactosialidosis are encouraged to routinely see theirgenetic counselors, neurological, ophthalmological, and other specialists as symptoms arise and to keep symptoms controlled.Bone marrow transplantis under investigation as an experimental therapy.[4][5]No conclusive results are currently available regarding the long term benefits of this treatment.[5]"
