,0
Acquired amegakaryocytic thrombocytopenia,cyclosporine
Acanthoma,fluorouracil
Idiopathic achalasia,isosorbide dinitrate
Methylmalonic acidemia,amino acids
Hidradenitis suppurativa,tretinoin
Epidermolysis bullosa acquisita,dapsone
Spastic paraplegia 4,baclofen
Spastic paraplegia 11,baclofen
Troyer syndrome,baclofen
Lymphatic filariasis,albendazole
Bartter syndrome,indomethacin
Nevoid basal cell carcinoma syndrome,tretinoin
Hailey-Hailey disease,tretinoin
Lymphocytic infiltrate of Jessner,methotrexate
Tylosis with esophageal cancer,tretinoin
Birdshot chorioretinopathy,cyclosporine
"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1",testosterone
Bronchiolitis obliterans organizing pneumonia,erythromycin
Punctate palmoplantar keratoderma type I,fluorouracil
Pseudopelade of Brocq,tretinoin
Dermatitis herpetiformis,dapsone
Buerger disease,nicotine
CREST syndrome,nitroglycerin
Chondrocalcinosis 2,aspirin
Cowden syndrome,fluorouracil
Guanidinoacetate methyltransferase deficiency,amino acids
Sneddon syndrome,aspirin
Cheilitis glandularis,fluorouracil
Perniosis,nicotine
Congenital chloride diarrhea,talc
Relapsing polychondritis,methotrexate
Chronic recurrent multifocal osteomyelitis,methotrexate
Creutzfeldt-Jakob disease,acyclovir
Pili torti,tretinoin
Collagenous colitis,budesonide
Linear porokeratosis,fluorouracil
Menkes disease,copper
Rheumatic Fever,aspirin
Nephrogenic diabetes insipidus,chlorothiazide
Stevens-Johnson syndrome,cyclosporine
Doyne honeycomb retinal dystrophy,verteporfin
Diffuse dermal angiomatosis,tretinoin
Diffuse idiopathic skeletal hyperostosis,acetaminophen
Diffuse panbronchiolitis,erythromycin
Dihydrolipoamide dehydrogenase deficiency,amino acids
Dowling-Degos disease,tretinoin
Eales disease,cyclosporine
Eosinophilic fasciitis,penicillamine
Extramammary Paget disease,fluorouracil
Eosinophilic cystitis,cyclosporine
Eosinophilic enteropathy,amino acids
Eosinophilic pustular folliculitis,tretinoin
Erythromelalgia,cyclosporine
Essential thrombocythemia,hydroxyurea
Hereditary hyperekplexia,diazepam
Herpes zoster oticus,acyclovir
Sjogren-Larsson syndrome,zileuton
Tyrosinemia type 1,nitisinone
Familial hypercholesterolemia,fenofibrate
Hereditary leiomyomatosis and renal cell cancer,nitroglycerin
Pulmonary arterial hypertension,iloprost
Febrile Ulceronecrotic Mucha-Habermann disease,methotrexate
Fetal and neonatal alloimmune thrombocytopenia,aspirin
Trimethylaminuria,copper
Lichen planopilaris,methotrexate
Gamma heavy chain disease,cyclophosphamide
Watermelon stomach,progesterone
Granuloma annulare,tretinoin
Primary angiitis of the central nervous system,cyclophosphamide
Granulomatous rosacea,tretinoin
Grover's disease,tretinoin
Guttate psoriasis,methotrexate
Hypomyelination with atrophy of basal ganglia and cerebellum,baclofen
Pantothenate kinase-associated neurodegeneration,baclofen
Hashimoto's encephalitis,cyclophosphamide
Wilson disease,copper
"Hereditary endotheliopathy, retinopathy, nephropathy, and stroke",aspirin
Hereditary hemorrhagic telangiectasia,aspirin
Hypereosinophilic syndrome,hydroxyurea
X-linked hypophosphatemia,calcitriol
Lipoid proteinosis of Urbach and Wiethe,penicillamine
Alkaptonuria,amino acids
Osteopetrosis,calcitriol
Pars planitis,methotrexate
Klinefelter syndrome,testosterone
Limbic encephalitis,cyclophosphamide
Tardive dyskinesia,clozapine
Livedoid vasculopathy,aspirin
Pustulosis palmaris et plantaris,cyclosporine
Nocardiosis,meropenem
Lymphomatoid papulosis,carmustine
Alopecia universalis,cyclosporine
Meningioma,hydroxyurea
MTHFR gene variant,methotrexate
Microscopic polyangiitis,methotrexate
Multifocal motor neuropathy,cyclophosphamide
Stiff person syndrome,baclofen
Morphea,methotrexate
Moyamoya disease,aspirin
Multicentric reticulohistiocytosis,methotrexate
Multifocal choroiditis,cyclosporine
Steatocystoma multiplex,tretinoin
Nodular nonsuppurative panniculitis,cyclophosphamide
Ocular toxoplasmosis,pyrimethamine
Oncogenic osteomalacia,calcitriol
Oral lichen planus,tretinoin
Ovarian small cell carcinoma,cyclophosphamide
Polyarteritis nodosa,cyclophosphamide
Pelizaeus-Merzbacher disease,baclofen
Pemphigus,methotrexate
Pemphigus vulgaris,methotrexate
Pityriasis rubra pilaris,tretinoin
Platelet storage pool deficiency,aspirin
Porokeratosis of Mibelli,tretinoin
Punctate porokeratosis,tretinoin
Sheehan syndrome,progesterone
Susac syndrome,cyclophosphamide
Richter syndrome,cytarabine
Rumination disorder,baclofen
Sarcoidosis,methotrexate
Scleroderma,methotrexate
Sydenham's chorea,diazepam
Trigeminal neuralgia,baclofen
Transverse myelitis,methotrexate
Vernal keratoconjunctivitis,tromethamine
Visual snow syndrome,aspirin
Xeroderma pigmentosum,tretinoin
"46, XY disorders of sexual development",testosterone
Zika virus infection,acetaminophen
Goodpasture syndrome,cyclophosphamide
Bell's palsy,aspirin
Autoimmune progesterone dermatitis,estradiol
Aplasia cutis congenita,silver sulfadiazine
Nail-patella syndrome,aspirin
Opsoclonus-myoclonus syndrome,cyclophosphamide
Familial atrial fibrillation,aspirin
Degos disease,aspirin
