,0
Acquired amegakaryocytic thrombocytopenia0,cyclosporine
Acanthoma1,fluorouracil
Idiopathic achalasia2,isosorbide dinitrate
Methylmalonic acidemia3,amino acids
Methylmalonic acidemia4,amino acids
Methylmalonic acidemia5,amino acids
Methylmalonic acidemia6,amino acids
Methylmalonic acidemia7,amino acids
Methylmalonic acidemia8,amino acids
Methylmalonic acidemia9,amino acids
Methylmalonic acidemia10,amino acids
Methylmalonic acidemia11,amino acids
Methylmalonic acidemia12,amino acids
Methylmalonic acidemia13,amino acids
Hidradenitis suppurativa14,methotrexate
Hidradenitis suppurativa15,tretinoin
Hidradenitis suppurativa16,tretinoin
Epidermolysis bullosa acquisita17,cyclophosphamide
Epidermolysis bullosa acquisita18,dapsone
Spastic paraplegia 419,baclofen
Spastic paraplegia 1120,baclofen
Troyer syndrome21,baclofen
Lymphatic filariasis22,albendazole
Bartter syndrome23,indomethacin
Nevoid basal cell carcinoma syndrome24,tretinoin
Nevoid basal cell carcinoma syndrome25,tretinoin
Hailey-Hailey disease26,dapsone
Hailey-Hailey disease27,tretinoin
Hailey-Hailey disease28,erythromycin
Hailey-Hailey disease29,erythromycin
Hailey-Hailey disease30,tretinoin
Lymphocytic infiltrate of Jessner31,auranofin
Lymphocytic infiltrate of Jessner32,methotrexate
Tylosis with esophageal cancer33,tretinoin
Tylosis with esophageal cancer34,tretinoin
Birdshot chorioretinopathy35,cyclosporine
"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 136",progesterone
"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 137",testosterone
"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 138",testosterone
Bronchiolitis obliterans organizing pneumonia39,cyclophosphamide
Bronchiolitis obliterans organizing pneumonia40,erythromycin
Bronchiolitis obliterans organizing pneumonia41,erythromycin
Punctate palmoplantar keratoderma type I42,fluorouracil
Pseudopelade of Brocq43,tretinoin
Pseudopelade of Brocq44,tretinoin
Dermatitis herpetiformis45,dapsone
Buerger disease46,nicotine
Buerger disease47,nicotine
CREST syndrome48,cyclosporine
CREST syndrome49,nicotine
CREST syndrome50,nitroglycerin
CREST syndrome51,nitroglycerin
CREST syndrome52,penicillamine
CREST syndrome53,penicillamine
CREST syndrome54,progesterone
CREST syndrome55,nicotine
CREST syndrome56,nitroglycerin
Chondrocalcinosis 257,aspirin
Cowden syndrome58,fluorouracil
Guanidinoacetate methyltransferase deficiency59,amino acids
Guanidinoacetate methyltransferase deficiency60,amino acids
Guanidinoacetate methyltransferase deficiency61,amino acids
Guanidinoacetate methyltransferase deficiency62,amino acids
Guanidinoacetate methyltransferase deficiency63,amino acids
Guanidinoacetate methyltransferase deficiency64,amino acids
Guanidinoacetate methyltransferase deficiency65,amino acids
Guanidinoacetate methyltransferase deficiency66,amino acids
Guanidinoacetate methyltransferase deficiency67,amino acids
Guanidinoacetate methyltransferase deficiency68,amino acids
Guanidinoacetate methyltransferase deficiency69,amino acids
Sneddon syndrome70,aspirin
Cheilitis glandularis71,fluorouracil
Perniosis72,nicotine
Perniosis73,nicotine
Congenital chloride diarrhea74,potassium chloride
Congenital chloride diarrhea75,potassium chloride
Congenital chloride diarrhea76,sodium chloride
Congenital chloride diarrhea77,sodium chloride
Congenital chloride diarrhea78,sodium chloride
Congenital chloride diarrhea79,sodium chloride
Congenital chloride diarrhea80,sodium chloride
Congenital chloride diarrhea81,talc
Congenital chloride diarrhea82,talc
Relapsing polychondritis83,cyclophosphamide
Relapsing polychondritis84,cyclosporine
Relapsing polychondritis85,dapsone
Relapsing polychondritis86,methotrexate
Chronic recurrent multifocal osteomyelitis87,methotrexate
Creutzfeldt-Jakob disease88,acyclovir
Pili torti89,tretinoin
Pili torti90,tretinoin
Collagenous colitis91,aspirin
Collagenous colitis92,mesalamine
Collagenous colitis93,atropine
Collagenous colitis94,budesonide
Linear porokeratosis95,fluorouracil
Menkes disease96,copper
Rheumatic Fever97,aspirin
Nephrogenic diabetes insipidus98,indomethacin
Nephrogenic diabetes insipidus99,chlorothiazide
Stevens-Johnson syndrome100,cyclosporine
Doyne honeycomb retinal dystrophy101,verteporfin
Diffuse dermal angiomatosis102,tretinoin
Diffuse dermal angiomatosis103,tretinoin
Diffuse idiopathic skeletal hyperostosis104,acetaminophen
Diffuse panbronchiolitis105,erythromycin
Diffuse panbronchiolitis106,erythromycin
Dihydrolipoamide dehydrogenase deficiency107,amino acids
Dihydrolipoamide dehydrogenase deficiency108,amino acids
Dihydrolipoamide dehydrogenase deficiency109,amino acids
Dihydrolipoamide dehydrogenase deficiency110,amino acids
Dihydrolipoamide dehydrogenase deficiency111,amino acids
Dihydrolipoamide dehydrogenase deficiency112,amino acids
Dihydrolipoamide dehydrogenase deficiency113,amino acids
Dihydrolipoamide dehydrogenase deficiency114,amino acids
Dihydrolipoamide dehydrogenase deficiency115,amino acids
Dihydrolipoamide dehydrogenase deficiency116,amino acids
Dihydrolipoamide dehydrogenase deficiency117,amino acids
Dowling-Degos disease118,tretinoin
Dowling-Degos disease119,tretinoin
Eales disease120,cyclosporine
Eosinophilic fasciitis121,methotrexate
Eosinophilic fasciitis122,penicillamine
Eosinophilic fasciitis123,penicillamine
Extramammary Paget disease124,docetaxel
Extramammary Paget disease125,docetaxel
Extramammary Paget disease126,docetaxel
Extramammary Paget disease127,fluorouracil
Eosinophilic cystitis128,aspirin
Eosinophilic cystitis129,cyclosporine
Eosinophilic enteropathy130,amino acids
Eosinophilic enteropathy131,amino acids
Eosinophilic enteropathy132,amino acids
Eosinophilic enteropathy133,amino acids
Eosinophilic enteropathy134,amino acids
Eosinophilic enteropathy135,amino acids
Eosinophilic enteropathy136,amino acids
Eosinophilic enteropathy137,amino acids
Eosinophilic enteropathy138,amino acids
Eosinophilic enteropathy139,amino acids
Eosinophilic enteropathy140,amino acids
Eosinophilic pustular folliculitis141,dapsone
Eosinophilic pustular folliculitis142,indomethacin
Eosinophilic pustular folliculitis143,nicotine
Eosinophilic pustular folliculitis144,tretinoin
Eosinophilic pustular folliculitis145,nicotine
Eosinophilic pustular folliculitis146,tretinoin
Erythromelalgia147,aspirin
Erythromelalgia148,cyclosporine
Essential thrombocythemia149,aspirin
Essential thrombocythemia150,hydroxyurea
Hereditary hyperekplexia151,diazepam
Herpes zoster oticus152,acyclovir
Sjogren-Larsson syndrome153,zileuton
Tyrosinemia type 1154,amino acids
Tyrosinemia type 1155,amino acids
Tyrosinemia type 1156,amino acids
Tyrosinemia type 1157,amino acids
Tyrosinemia type 1158,amino acids
Tyrosinemia type 1159,amino acids
Tyrosinemia type 1160,amino acids
Tyrosinemia type 1161,amino acids
Tyrosinemia type 1162,amino acids
Tyrosinemia type 1163,amino acids
Tyrosinemia type 1164,amino acids
Tyrosinemia type 1165,nitisinone
Familial hypercholesterolemia166,fenofibrate
Hereditary leiomyomatosis and renal cell cancer167,nitroglycerin
Hereditary leiomyomatosis and renal cell cancer168,nitroglycerin
Hereditary leiomyomatosis and renal cell cancer169,nitroglycerin
Pulmonary arterial hypertension170,bosentan
Pulmonary arterial hypertension171,iloprost
Febrile Ulceronecrotic Mucha-Habermann disease172,acyclovir
Febrile Ulceronecrotic Mucha-Habermann disease173,cyclosporine
Febrile Ulceronecrotic Mucha-Habermann disease174,dapsone
Febrile Ulceronecrotic Mucha-Habermann disease175,methotrexate
Fetal and neonatal alloimmune thrombocytopenia176,aspirin
Trimethylaminuria177,copper
Lichen planopilaris178,cyclosporine
Lichen planopilaris179,methotrexate
Gamma heavy chain disease180,chlorambucil
Gamma heavy chain disease181,cyclophosphamide
Watermelon stomach182,progesterone
Granuloma annulare183,cyclosporine
Granuloma annulare184,dapsone
Granuloma annulare185,tretinoin
Granuloma annulare186,tretinoin
Primary angiitis of the central nervous system187,cyclophosphamide
Granulomatous rosacea188,azelaic acid
Granulomatous rosacea189,dapsone
Granulomatous rosacea190,metronidazole
Granulomatous rosacea191,tretinoin
Granulomatous rosacea192,erythromycin
Granulomatous rosacea193,erythromycin
Granulomatous rosacea194,tretinoin
Grover's disease195,tretinoin
Grover's disease196,tretinoin
Guttate psoriasis197,cyclosporine
Guttate psoriasis198,methotrexate
Hypomyelination with atrophy of basal ganglia and cerebellum199,diazepam
Hypomyelination with atrophy of basal ganglia and cerebellum200,baclofen
Pantothenate kinase-associated neurodegeneration201,baclofen
Hashimoto's encephalitis202,cyclophosphamide
Wilson disease203,copper
"Hereditary endotheliopathy, retinopathy, nephropathy, and stroke204",aspirin
Hereditary hemorrhagic telangiectasia205,aspirin
Hypereosinophilic syndrome206,hydroxyurea
X-linked hypophosphatemia207,calcitriol
Lipoid proteinosis of Urbach and Wiethe208,penicillamine
Lipoid proteinosis of Urbach and Wiethe209,penicillamine
Alkaptonuria210,amino acids
Alkaptonuria211,amino acids
Alkaptonuria212,amino acids
Alkaptonuria213,amino acids
Alkaptonuria214,amino acids
Alkaptonuria215,amino acids
Alkaptonuria216,amino acids
Alkaptonuria217,amino acids
Alkaptonuria218,amino acids
Alkaptonuria219,amino acids
Alkaptonuria220,amino acids
Osteopetrosis221,calcitriol
Pars planitis222,aspirin
Pars planitis223,methotrexate
Klinefelter syndrome224,testosterone
Klinefelter syndrome225,testosterone
Limbic encephalitis226,cyclophosphamide
Tardive dyskinesia227,clozapine
Livedoid vasculopathy228,aspirin
Pustulosis palmaris et plantaris229,cyclosporine
Nocardiosis230,linezolid
Nocardiosis231,meropenem
Lymphomatoid papulosis232,cyclophosphamide
Lymphomatoid papulosis233,methotrexate
Lymphomatoid papulosis234,carmustine
Lymphomatoid papulosis235,carmustine
Alopecia universalis236,cyclosporine
Meningioma237,hydroxyurea
MTHFR gene variant238,fenofibrate
MTHFR gene variant239,methotrexate
Microscopic polyangiitis240,cyclophosphamide
Microscopic polyangiitis241,methotrexate
Multifocal motor neuropathy242,cyclophosphamide
Stiff person syndrome243,diazepam
Stiff person syndrome244,baclofen
Morphea245,methotrexate
Moyamoya disease246,aspirin
Multicentric reticulohistiocytosis247,aspirin
Multicentric reticulohistiocytosis248,chlorambucil
Multicentric reticulohistiocytosis249,cyclophosphamide
Multicentric reticulohistiocytosis250,methotrexate
Multifocal choroiditis251,cyclosporine
Steatocystoma multiplex252,tretinoin
Steatocystoma multiplex253,tretinoin
Nodular nonsuppurative panniculitis254,cyclophosphamide
Ocular toxoplasmosis255,pyrimethamine
Oncogenic osteomalacia256,calcitriol
Oral lichen planus257,tretinoin
Oral lichen planus258,chlorothiazide
Oral lichen planus259,tretinoin
Ovarian small cell carcinoma260,cyclophosphamide
Polyarteritis nodosa261,cyclophosphamide
Pelizaeus-Merzbacher disease262,diazepam
Pelizaeus-Merzbacher disease263,baclofen
Pemphigus264,cyclophosphamide
Pemphigus265,cyclosporine
Pemphigus266,methotrexate
Pemphigus vulgaris267,dapsone
Pemphigus vulgaris268,methotrexate
Pityriasis rubra pilaris269,cyclosporine
Pityriasis rubra pilaris270,tazarotene
Pityriasis rubra pilaris271,tazarotene
Pityriasis rubra pilaris272,tretinoin
Pityriasis rubra pilaris273,tretinoin
Platelet storage pool deficiency274,aspirin
Porokeratosis of Mibelli275,fluorouracil
Porokeratosis of Mibelli276,tretinoin
Porokeratosis of Mibelli277,tretinoin
Punctate porokeratosis278,fluorouracil
Punctate porokeratosis279,tretinoin
Punctate porokeratosis280,tretinoin
Sheehan syndrome281,progesterone
Susac syndrome282,aspirin
Susac syndrome283,cyclophosphamide
Richter syndrome284,cytarabine
Rumination disorder285,baclofen
Sarcoidosis286,cyclophosphamide
Sarcoidosis287,methotrexate
Scleroderma288,cyclophosphamide
Scleroderma289,iloprost
Scleroderma290,methotrexate
Sydenham's chorea291,diazepam
Trigeminal neuralgia292,baclofen
Transverse myelitis293,aspirin
Transverse myelitis294,cyclophosphamide
Transverse myelitis295,methotrexate
Vernal keratoconjunctivitis296,lodoxamide tromethamine
Vernal keratoconjunctivitis297,tromethamine
Visual snow syndrome298,aspirin
Xeroderma pigmentosum299,fluorouracil
Xeroderma pigmentosum300,tretinoin
Xeroderma pigmentosum301,tretinoin
"46, XY disorders of sexual development302",testosterone
"46, XY disorders of sexual development303",testosterone
Zika virus infection304,acetaminophen
Goodpasture syndrome305,cyclophosphamide
Bell's palsy306,acetaminophen
Bell's palsy307,acyclovir
Bell's palsy308,aspirin
Autoimmune progesterone dermatitis309,progesterone
Autoimmune progesterone dermatitis310,estradiol
Autoimmune progesterone dermatitis311,estradiol
Autoimmune progesterone dermatitis312,estradiol
Autoimmune progesterone dermatitis313,estradiol
Aplasia cutis congenita314,silver sulfadiazine
Nail-patella syndrome315,aspirin
Opsoclonus-myoclonus syndrome316,cyclophosphamide
Familial atrial fibrillation317,aspirin
Degos disease318,aspirin
