,0
cyclosporine0,Acquired amegakaryocytic thrombocytopenia
fluorouracil1,Acanthoma
isosorbide dinitrate2,Idiopathic achalasia
amino acids3,Methylmalonic acidemia
amino acids4,Methylmalonic acidemia
amino acids5,Methylmalonic acidemia
amino acids6,Methylmalonic acidemia
amino acids7,Methylmalonic acidemia
amino acids8,Methylmalonic acidemia
amino acids9,Methylmalonic acidemia
amino acids10,Methylmalonic acidemia
amino acids11,Methylmalonic acidemia
amino acids12,Methylmalonic acidemia
amino acids13,Methylmalonic acidemia
methotrexate14,Hidradenitis suppurativa
tretinoin15,Hidradenitis suppurativa
tretinoin16,Hidradenitis suppurativa
cyclophosphamide17,Epidermolysis bullosa acquisita
dapsone18,Epidermolysis bullosa acquisita
baclofen19,Spastic paraplegia 4
baclofen20,Spastic paraplegia 11
baclofen21,Troyer syndrome
albendazole22,Lymphatic filariasis
indomethacin23,Bartter syndrome
tretinoin24,Nevoid basal cell carcinoma syndrome
tretinoin25,Nevoid basal cell carcinoma syndrome
dapsone26,Hailey-Hailey disease
tretinoin27,Hailey-Hailey disease
erythromycin28,Hailey-Hailey disease
erythromycin29,Hailey-Hailey disease
tretinoin30,Hailey-Hailey disease
auranofin31,Lymphocytic infiltrate of Jessner
methotrexate32,Lymphocytic infiltrate of Jessner
tretinoin33,Tylosis with esophageal cancer
tretinoin34,Tylosis with esophageal cancer
cyclosporine35,Birdshot chorioretinopathy
progesterone36,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1"
testosterone37,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1"
testosterone38,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1"
cyclophosphamide39,Bronchiolitis obliterans organizing pneumonia
erythromycin40,Bronchiolitis obliterans organizing pneumonia
erythromycin41,Bronchiolitis obliterans organizing pneumonia
fluorouracil42,Punctate palmoplantar keratoderma type I
tretinoin43,Pseudopelade of Brocq
tretinoin44,Pseudopelade of Brocq
dapsone45,Dermatitis herpetiformis
nicotine46,Buerger disease
nicotine47,Buerger disease
cyclosporine48,CREST syndrome
nicotine49,CREST syndrome
nitroglycerin50,CREST syndrome
nitroglycerin51,CREST syndrome
penicillamine52,CREST syndrome
penicillamine53,CREST syndrome
progesterone54,CREST syndrome
nicotine55,CREST syndrome
nitroglycerin56,CREST syndrome
aspirin57,Chondrocalcinosis 2
fluorouracil58,Cowden syndrome
amino acids59,Guanidinoacetate methyltransferase deficiency
amino acids60,Guanidinoacetate methyltransferase deficiency
amino acids61,Guanidinoacetate methyltransferase deficiency
amino acids62,Guanidinoacetate methyltransferase deficiency
amino acids63,Guanidinoacetate methyltransferase deficiency
amino acids64,Guanidinoacetate methyltransferase deficiency
amino acids65,Guanidinoacetate methyltransferase deficiency
amino acids66,Guanidinoacetate methyltransferase deficiency
amino acids67,Guanidinoacetate methyltransferase deficiency
amino acids68,Guanidinoacetate methyltransferase deficiency
amino acids69,Guanidinoacetate methyltransferase deficiency
aspirin70,Sneddon syndrome
fluorouracil71,Cheilitis glandularis
nicotine72,Perniosis
nicotine73,Perniosis
potassium chloride74,Congenital chloride diarrhea
potassium chloride75,Congenital chloride diarrhea
sodium chloride76,Congenital chloride diarrhea
sodium chloride77,Congenital chloride diarrhea
sodium chloride78,Congenital chloride diarrhea
sodium chloride79,Congenital chloride diarrhea
sodium chloride80,Congenital chloride diarrhea
talc81,Congenital chloride diarrhea
talc82,Congenital chloride diarrhea
cyclophosphamide83,Relapsing polychondritis
cyclosporine84,Relapsing polychondritis
dapsone85,Relapsing polychondritis
methotrexate86,Relapsing polychondritis
methotrexate87,Chronic recurrent multifocal osteomyelitis
acyclovir88,Creutzfeldt-Jakob disease
tretinoin89,Pili torti
tretinoin90,Pili torti
aspirin91,Collagenous colitis
mesalamine92,Collagenous colitis
atropine93,Collagenous colitis
budesonide94,Collagenous colitis
fluorouracil95,Linear porokeratosis
copper96,Menkes disease
aspirin97,Rheumatic Fever
indomethacin98,Nephrogenic diabetes insipidus
chlorothiazide99,Nephrogenic diabetes insipidus
cyclosporine100,Stevens-Johnson syndrome
verteporfin101,Doyne honeycomb retinal dystrophy
tretinoin102,Diffuse dermal angiomatosis
tretinoin103,Diffuse dermal angiomatosis
acetaminophen104,Diffuse idiopathic skeletal hyperostosis
erythromycin105,Diffuse panbronchiolitis
erythromycin106,Diffuse panbronchiolitis
amino acids107,Dihydrolipoamide dehydrogenase deficiency
amino acids108,Dihydrolipoamide dehydrogenase deficiency
amino acids109,Dihydrolipoamide dehydrogenase deficiency
amino acids110,Dihydrolipoamide dehydrogenase deficiency
amino acids111,Dihydrolipoamide dehydrogenase deficiency
amino acids112,Dihydrolipoamide dehydrogenase deficiency
amino acids113,Dihydrolipoamide dehydrogenase deficiency
amino acids114,Dihydrolipoamide dehydrogenase deficiency
amino acids115,Dihydrolipoamide dehydrogenase deficiency
amino acids116,Dihydrolipoamide dehydrogenase deficiency
amino acids117,Dihydrolipoamide dehydrogenase deficiency
tretinoin118,Dowling-Degos disease
tretinoin119,Dowling-Degos disease
cyclosporine120,Eales disease
methotrexate121,Eosinophilic fasciitis
penicillamine122,Eosinophilic fasciitis
penicillamine123,Eosinophilic fasciitis
docetaxel124,Extramammary Paget disease
docetaxel125,Extramammary Paget disease
docetaxel126,Extramammary Paget disease
fluorouracil127,Extramammary Paget disease
aspirin128,Eosinophilic cystitis
cyclosporine129,Eosinophilic cystitis
amino acids130,Eosinophilic enteropathy
amino acids131,Eosinophilic enteropathy
amino acids132,Eosinophilic enteropathy
amino acids133,Eosinophilic enteropathy
amino acids134,Eosinophilic enteropathy
amino acids135,Eosinophilic enteropathy
amino acids136,Eosinophilic enteropathy
amino acids137,Eosinophilic enteropathy
amino acids138,Eosinophilic enteropathy
amino acids139,Eosinophilic enteropathy
amino acids140,Eosinophilic enteropathy
dapsone141,Eosinophilic pustular folliculitis
indomethacin142,Eosinophilic pustular folliculitis
nicotine143,Eosinophilic pustular folliculitis
tretinoin144,Eosinophilic pustular folliculitis
nicotine145,Eosinophilic pustular folliculitis
tretinoin146,Eosinophilic pustular folliculitis
aspirin147,Erythromelalgia
cyclosporine148,Erythromelalgia
aspirin149,Essential thrombocythemia
hydroxyurea150,Essential thrombocythemia
diazepam151,Hereditary hyperekplexia
acyclovir152,Herpes zoster oticus
zileuton153,Sjogren-Larsson syndrome
amino acids154,Tyrosinemia type 1
amino acids155,Tyrosinemia type 1
amino acids156,Tyrosinemia type 1
amino acids157,Tyrosinemia type 1
amino acids158,Tyrosinemia type 1
amino acids159,Tyrosinemia type 1
amino acids160,Tyrosinemia type 1
amino acids161,Tyrosinemia type 1
amino acids162,Tyrosinemia type 1
amino acids163,Tyrosinemia type 1
amino acids164,Tyrosinemia type 1
nitisinone165,Tyrosinemia type 1
fenofibrate166,Familial hypercholesterolemia
nitroglycerin167,Hereditary leiomyomatosis and renal cell cancer
nitroglycerin168,Hereditary leiomyomatosis and renal cell cancer
nitroglycerin169,Hereditary leiomyomatosis and renal cell cancer
bosentan170,Pulmonary arterial hypertension
iloprost171,Pulmonary arterial hypertension
acyclovir172,Febrile Ulceronecrotic Mucha-Habermann disease
cyclosporine173,Febrile Ulceronecrotic Mucha-Habermann disease
dapsone174,Febrile Ulceronecrotic Mucha-Habermann disease
