,0
cyclosporine0,Acquired amegakaryocytic thrombocytopenia
fluorouracil1,Acanthoma
isosorbide dinitrate2,Idiopathic achalasia
amino acids3,Methylmalonic acidemia
amino acids4,Methylmalonic acidemia
amino acids5,Methylmalonic acidemia
amino acids6,Methylmalonic acidemia
amino acids7,Methylmalonic acidemia
amino acids8,Methylmalonic acidemia
amino acids9,Methylmalonic acidemia
amino acids10,Methylmalonic acidemia
amino acids11,Methylmalonic acidemia
amino acids12,Methylmalonic acidemia
amino acids13,Methylmalonic acidemia
methotrexate14,Hidradenitis suppurativa
tretinoin15,Hidradenitis suppurativa
tretinoin16,Hidradenitis suppurativa
cyclophosphamide17,Epidermolysis bullosa acquisita
dapsone18,Epidermolysis bullosa acquisita
Methotrexate19,SAPHO syndrome
baclofen20,Spastic paraplegia 4
baclofen21,Spastic paraplegia 11
baclofen22,Troyer syndrome
albendazole23,Lymphatic filariasis
indomethacin24,Bartter syndrome
tretinoin25,Nevoid basal cell carcinoma syndrome
tretinoin26,Nevoid basal cell carcinoma syndrome
Albendazole27,Baylisascaris infection
dapsone28,Hailey-Hailey disease
tretinoin29,Hailey-Hailey disease
erythromycin30,Hailey-Hailey disease
erythromycin31,Hailey-Hailey disease
tretinoin32,Hailey-Hailey disease
auranofin33,Lymphocytic infiltrate of Jessner
methotrexate34,Lymphocytic infiltrate of Jessner
tretinoin35,Tylosis with esophageal cancer
tretinoin36,Tylosis with esophageal cancer
cyclosporine37,Birdshot chorioretinopathy
progesterone38,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1"
testosterone39,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1"
testosterone40,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1"
cyclophosphamide41,Bronchiolitis obliterans organizing pneumonia
erythromycin42,Bronchiolitis obliterans organizing pneumonia
erythromycin43,Bronchiolitis obliterans organizing pneumonia
fluorouracil44,Punctate palmoplantar keratoderma type I
tretinoin45,Pseudopelade of Brocq
tretinoin46,Pseudopelade of Brocq
dapsone47,Dermatitis herpetiformis
nicotine48,Buerger disease
nicotine49,Buerger disease
Iloprost50,Buerger disease
cyclosporine51,CREST syndrome
nicotine52,CREST syndrome
nitroglycerin53,CREST syndrome
nitroglycerin54,CREST syndrome
penicillamine55,CREST syndrome
penicillamine56,CREST syndrome
progesterone57,CREST syndrome
nicotine58,CREST syndrome
nitroglycerin59,CREST syndrome
aspirin60,Chondrocalcinosis 2
fluorouracil61,Cowden syndrome
amino acids62,Guanidinoacetate methyltransferase deficiency
amino acids63,Guanidinoacetate methyltransferase deficiency
amino acids64,Guanidinoacetate methyltransferase deficiency
amino acids65,Guanidinoacetate methyltransferase deficiency
amino acids66,Guanidinoacetate methyltransferase deficiency
amino acids67,Guanidinoacetate methyltransferase deficiency
amino acids68,Guanidinoacetate methyltransferase deficiency
amino acids69,Guanidinoacetate methyltransferase deficiency
amino acids70,Guanidinoacetate methyltransferase deficiency
amino acids71,Guanidinoacetate methyltransferase deficiency
amino acids72,Guanidinoacetate methyltransferase deficiency
aspirin73,Sneddon syndrome
Acetaminophen74,Roussy Levy syndrome
fluorouracil75,Cheilitis glandularis
nicotine76,Perniosis
nicotine77,Perniosis
potassium chloride78,Congenital chloride diarrhea
potassium chloride79,Congenital chloride diarrhea
sodium chloride80,Congenital chloride diarrhea
sodium chloride81,Congenital chloride diarrhea
sodium chloride82,Congenital chloride diarrhea
sodium chloride83,Congenital chloride diarrhea
sodium chloride84,Congenital chloride diarrhea
talc85,Congenital chloride diarrhea
talc86,Congenital chloride diarrhea
cyclophosphamide87,Relapsing polychondritis
cyclosporine88,Relapsing polychondritis
dapsone89,Relapsing polychondritis
methotrexate90,Relapsing polychondritis
methotrexate91,Chronic recurrent multifocal osteomyelitis
Dapsone92,Schnitzler syndrome
acyclovir93,Creutzfeldt-Jakob disease
tretinoin94,Pili torti
tretinoin95,Pili torti
Dapsone96,Cold urticaria
aspirin97,Collagenous colitis
mesalamine98,Collagenous colitis
atropine99,Collagenous colitis
budesonide100,Collagenous colitis
fluorouracil101,Linear porokeratosis
copper102,Menkes disease
Penicillamine103,Menkes disease
Penicillamine104,Menkes disease
aspirin105,Rheumatic Fever
indomethacin106,Nephrogenic diabetes insipidus
chlorothiazide107,Nephrogenic diabetes insipidus
cyclosporine108,Stevens-Johnson syndrome
verteporfin109,Doyne honeycomb retinal dystrophy
tretinoin110,Diffuse dermal angiomatosis
tretinoin111,Diffuse dermal angiomatosis
acetaminophen112,Diffuse idiopathic skeletal hyperostosis
erythromycin113,Diffuse panbronchiolitis
erythromycin114,Diffuse panbronchiolitis
Erythromycin115,Diffuse panbronchiolitis
Erythromycin116,Diffuse panbronchiolitis
amino acids117,Dihydrolipoamide dehydrogenase deficiency
amino acids118,Dihydrolipoamide dehydrogenase deficiency
amino acids119,Dihydrolipoamide dehydrogenase deficiency
amino acids120,Dihydrolipoamide dehydrogenase deficiency
amino acids121,Dihydrolipoamide dehydrogenase deficiency
amino acids122,Dihydrolipoamide dehydrogenase deficiency
amino acids123,Dihydrolipoamide dehydrogenase deficiency
amino acids124,Dihydrolipoamide dehydrogenase deficiency
amino acids125,Dihydrolipoamide dehydrogenase deficiency
amino acids126,Dihydrolipoamide dehydrogenase deficiency
amino acids127,Dihydrolipoamide dehydrogenase deficiency
Testosterone128,Myotonic dystrophy type 2
Testosterone129,Myotonic dystrophy type 2
tretinoin130,Dowling-Degos disease
tretinoin131,Dowling-Degos disease
Testosterone132,Myotonic dystrophy
Testosterone133,Myotonic dystrophy
cyclosporine134,Eales disease
methotrexate135,Eosinophilic fasciitis
penicillamine136,Eosinophilic fasciitis
penicillamine137,Eosinophilic fasciitis
docetaxel138,Extramammary Paget disease
docetaxel139,Extramammary Paget disease
docetaxel140,Extramammary Paget disease
fluorouracil141,Extramammary Paget disease
aspirin142,Eosinophilic cystitis
cyclosporine143,Eosinophilic cystitis
amino acids144,Eosinophilic enteropathy
amino acids145,Eosinophilic enteropathy
amino acids146,Eosinophilic enteropathy
amino acids147,Eosinophilic enteropathy
amino acids148,Eosinophilic enteropathy
amino acids149,Eosinophilic enteropathy
amino acids150,Eosinophilic enteropathy
amino acids151,Eosinophilic enteropathy
amino acids152,Eosinophilic enteropathy
amino acids153,Eosinophilic enteropathy
amino acids154,Eosinophilic enteropathy
Amino acids155,Eosinophilic enteropathy
Amino acids156,Eosinophilic enteropathy
Amino acids157,Eosinophilic enteropathy
Amino acids158,Eosinophilic enteropathy
Amino acids159,Eosinophilic enteropathy
Amino acids160,Eosinophilic enteropathy
Amino acids161,Eosinophilic enteropathy
Amino acids162,Eosinophilic enteropathy
Amino acids163,Eosinophilic enteropathy
Amino acids164,Eosinophilic enteropathy
Amino acids165,Eosinophilic enteropathy
dapsone166,Eosinophilic pustular folliculitis
indomethacin167,Eosinophilic pustular folliculitis
nicotine168,Eosinophilic pustular folliculitis
tretinoin169,Eosinophilic pustular folliculitis
nicotine170,Eosinophilic pustular folliculitis
tretinoin171,Eosinophilic pustular folliculitis
Dapsone172,Erythema elevatum diutinum
aspirin173,Erythromelalgia
cyclosporine174,Erythromelalgia
aspirin175,Essential thrombocythemia
hydroxyurea176,Essential thrombocythemia
Aspirin177,Essential thrombocythemia
