,0
Acquired amegakaryocytic thrombocytopenia0,cyclosporine
Acanthoma1,fluorouracil
Idiopathic achalasia2,isosorbide dinitrate
Methylmalonic acidemia3,amino acids
Methylmalonic acidemia4,amino acids
Methylmalonic acidemia5,amino acids
Methylmalonic acidemia6,amino acids
Methylmalonic acidemia7,amino acids
Methylmalonic acidemia8,amino acids
Methylmalonic acidemia9,amino acids
Methylmalonic acidemia10,amino acids
Methylmalonic acidemia11,amino acids
Methylmalonic acidemia12,amino acids
Methylmalonic acidemia13,amino acids
Hidradenitis suppurativa14,methotrexate
Hidradenitis suppurativa15,tretinoin
Hidradenitis suppurativa16,tretinoin
Epidermolysis bullosa acquisita17,cyclophosphamide
Epidermolysis bullosa acquisita18,dapsone
SAPHO syndrome19,Methotrexate
Spastic paraplegia 420,baclofen
Spastic paraplegia 1121,baclofen
Troyer syndrome22,baclofen
Lymphatic filariasis23,albendazole
Bartter syndrome24,indomethacin
Nevoid basal cell carcinoma syndrome25,tretinoin
Nevoid basal cell carcinoma syndrome26,tretinoin
Baylisascaris infection27,Albendazole
Hailey-Hailey disease28,dapsone
Hailey-Hailey disease29,tretinoin
Hailey-Hailey disease30,erythromycin
Hailey-Hailey disease31,erythromycin
Hailey-Hailey disease32,tretinoin
Lymphocytic infiltrate of Jessner33,auranofin
Lymphocytic infiltrate of Jessner34,methotrexate
Tylosis with esophageal cancer35,tretinoin
Tylosis with esophageal cancer36,tretinoin
Birdshot chorioretinopathy37,cyclosporine
"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 138",progesterone
"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 139",testosterone
"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 140",testosterone
Bronchiolitis obliterans organizing pneumonia41,cyclophosphamide
Bronchiolitis obliterans organizing pneumonia42,erythromycin
Bronchiolitis obliterans organizing pneumonia43,erythromycin
Punctate palmoplantar keratoderma type I44,fluorouracil
Pseudopelade of Brocq45,tretinoin
Pseudopelade of Brocq46,tretinoin
Dermatitis herpetiformis47,dapsone
Buerger disease48,nicotine
Buerger disease49,nicotine
Buerger disease50,Iloprost
CREST syndrome51,cyclosporine
CREST syndrome52,nicotine
CREST syndrome53,nitroglycerin
CREST syndrome54,nitroglycerin
CREST syndrome55,penicillamine
CREST syndrome56,penicillamine
CREST syndrome57,progesterone
CREST syndrome58,nicotine
CREST syndrome59,nitroglycerin
Chondrocalcinosis 260,aspirin
Cowden syndrome61,fluorouracil
Guanidinoacetate methyltransferase deficiency62,amino acids
Guanidinoacetate methyltransferase deficiency63,amino acids
Guanidinoacetate methyltransferase deficiency64,amino acids
Guanidinoacetate methyltransferase deficiency65,amino acids
Guanidinoacetate methyltransferase deficiency66,amino acids
Guanidinoacetate methyltransferase deficiency67,amino acids
Guanidinoacetate methyltransferase deficiency68,amino acids
Guanidinoacetate methyltransferase deficiency69,amino acids
Guanidinoacetate methyltransferase deficiency70,amino acids
Guanidinoacetate methyltransferase deficiency71,amino acids
Guanidinoacetate methyltransferase deficiency72,amino acids
Sneddon syndrome73,aspirin
Roussy Levy syndrome74,Acetaminophen
Cheilitis glandularis75,fluorouracil
Perniosis76,nicotine
Perniosis77,nicotine
Congenital chloride diarrhea78,potassium chloride
Congenital chloride diarrhea79,potassium chloride
Congenital chloride diarrhea80,sodium chloride
Congenital chloride diarrhea81,sodium chloride
Congenital chloride diarrhea82,sodium chloride
Congenital chloride diarrhea83,sodium chloride
Congenital chloride diarrhea84,sodium chloride
Congenital chloride diarrhea85,talc
Congenital chloride diarrhea86,talc
Relapsing polychondritis87,cyclophosphamide
Relapsing polychondritis88,cyclosporine
Relapsing polychondritis89,dapsone
Relapsing polychondritis90,methotrexate
Chronic recurrent multifocal osteomyelitis91,methotrexate
Schnitzler syndrome92,Dapsone
Creutzfeldt-Jakob disease93,acyclovir
Pili torti94,tretinoin
Pili torti95,tretinoin
Cold urticaria96,Dapsone
Collagenous colitis97,aspirin
Collagenous colitis98,mesalamine
Collagenous colitis99,atropine
Collagenous colitis100,budesonide
Linear porokeratosis101,fluorouracil
Menkes disease102,copper
Menkes disease103,Penicillamine
Menkes disease104,Penicillamine
Rheumatic Fever105,aspirin
Nephrogenic diabetes insipidus106,indomethacin
Nephrogenic diabetes insipidus107,chlorothiazide
Stevens-Johnson syndrome108,cyclosporine
Doyne honeycomb retinal dystrophy109,verteporfin
Diffuse dermal angiomatosis110,tretinoin
Diffuse dermal angiomatosis111,tretinoin
Diffuse idiopathic skeletal hyperostosis112,acetaminophen
Diffuse panbronchiolitis113,erythromycin
Diffuse panbronchiolitis114,erythromycin
Diffuse panbronchiolitis115,Erythromycin
Diffuse panbronchiolitis116,Erythromycin
Dihydrolipoamide dehydrogenase deficiency117,amino acids
Dihydrolipoamide dehydrogenase deficiency118,amino acids
Dihydrolipoamide dehydrogenase deficiency119,amino acids
Dihydrolipoamide dehydrogenase deficiency120,amino acids
Dihydrolipoamide dehydrogenase deficiency121,amino acids
Dihydrolipoamide dehydrogenase deficiency122,amino acids
Dihydrolipoamide dehydrogenase deficiency123,amino acids
Dihydrolipoamide dehydrogenase deficiency124,amino acids
Dihydrolipoamide dehydrogenase deficiency125,amino acids
Dihydrolipoamide dehydrogenase deficiency126,amino acids
Dihydrolipoamide dehydrogenase deficiency127,amino acids
Myotonic dystrophy type 2128,Testosterone
Myotonic dystrophy type 2129,Testosterone
Dowling-Degos disease130,tretinoin
Dowling-Degos disease131,tretinoin
Myotonic dystrophy132,Testosterone
Myotonic dystrophy133,Testosterone
Eales disease134,cyclosporine
Eosinophilic fasciitis135,methotrexate
Eosinophilic fasciitis136,penicillamine
Eosinophilic fasciitis137,penicillamine
Extramammary Paget disease138,docetaxel
Extramammary Paget disease139,docetaxel
Extramammary Paget disease140,docetaxel
Extramammary Paget disease141,fluorouracil
Eosinophilic cystitis142,aspirin
Eosinophilic cystitis143,cyclosporine
Eosinophilic enteropathy144,amino acids
Eosinophilic enteropathy145,amino acids
Eosinophilic enteropathy146,amino acids
Eosinophilic enteropathy147,amino acids
Eosinophilic enteropathy148,amino acids
Eosinophilic enteropathy149,amino acids
Eosinophilic enteropathy150,amino acids
Eosinophilic enteropathy151,amino acids
Eosinophilic enteropathy152,amino acids
Eosinophilic enteropathy153,amino acids
Eosinophilic enteropathy154,amino acids
Eosinophilic enteropathy155,Amino acids
Eosinophilic enteropathy156,Amino acids
Eosinophilic enteropathy157,Amino acids
Eosinophilic enteropathy158,Amino acids
Eosinophilic enteropathy159,Amino acids
Eosinophilic enteropathy160,Amino acids
Eosinophilic enteropathy161,Amino acids
Eosinophilic enteropathy162,Amino acids
Eosinophilic enteropathy163,Amino acids
Eosinophilic enteropathy164,Amino acids
Eosinophilic enteropathy165,Amino acids
Eosinophilic pustular folliculitis166,dapsone
Eosinophilic pustular folliculitis167,indomethacin
Eosinophilic pustular folliculitis168,nicotine
Eosinophilic pustular folliculitis169,tretinoin
Eosinophilic pustular folliculitis170,nicotine
Eosinophilic pustular folliculitis171,tretinoin
Erythema elevatum diutinum172,Dapsone
Erythromelalgia173,aspirin
Erythromelalgia174,cyclosporine
Essential thrombocythemia175,aspirin
Essential thrombocythemia176,hydroxyurea
Essential thrombocythemia177,Aspirin
Essential thrombocythemia178,Hydroxyurea
Hereditary hyperekplexia179,diazepam
Herpes zoster oticus180,acyclovir
Sjogren-Larsson syndrome181,zileuton
Tyrosinemia type 1182,amino acids
Tyrosinemia type 1183,amino acids
Tyrosinemia type 1184,amino acids
Tyrosinemia type 1185,amino acids
Tyrosinemia type 1186,amino acids
Tyrosinemia type 1187,amino acids
Tyrosinemia type 1188,amino acids
Tyrosinemia type 1189,amino acids
Tyrosinemia type 1190,amino acids
Tyrosinemia type 1191,amino acids
Tyrosinemia type 1192,amino acids
Tyrosinemia type 1193,nitisinone
Familial hypercholesterolemia194,fenofibrate
Hereditary leiomyomatosis and renal cell cancer195,nitroglycerin
Hereditary leiomyomatosis and renal cell cancer196,nitroglycerin
Hereditary leiomyomatosis and renal cell cancer197,nitroglycerin
Pulmonary arterial hypertension198,bosentan
Pulmonary arterial hypertension199,iloprost
Febrile Ulceronecrotic Mucha-Habermann disease200,acyclovir
Febrile Ulceronecrotic Mucha-Habermann disease201,cyclosporine
Febrile Ulceronecrotic Mucha-Habermann disease202,dapsone
Febrile Ulceronecrotic Mucha-Habermann disease203,methotrexate
Febrile Ulceronecrotic Mucha-Habermann disease204,Acyclovir
Febrile Ulceronecrotic Mucha-Habermann disease205,Methotrexate
Fetal and neonatal alloimmune thrombocytopenia206,aspirin
Trimethylaminuria207,copper
Lichen planopilaris208,cyclosporine
Lichen planopilaris209,methotrexate
Gamma heavy chain disease210,chlorambucil
Gamma heavy chain disease211,cyclophosphamide
Watermelon stomach212,progesterone
Granuloma annulare213,cyclosporine
Granuloma annulare214,dapsone
Granuloma annulare215,tretinoin
Granuloma annulare216,tretinoin
Primary angiitis of the central nervous system217,cyclophosphamide
Primary angiitis of the central nervous system218,Methotrexate
Granulomatous rosacea219,azelaic acid
Granulomatous rosacea220,dapsone
Granulomatous rosacea221,metronidazole
Granulomatous rosacea222,tretinoin
Granulomatous rosacea223,erythromycin
Granulomatous rosacea224,erythromycin
Granulomatous rosacea225,tretinoin
Granulomatous rosacea226,Dapsone
Grover's disease227,tretinoin
Grover's disease228,tretinoin
Guttate psoriasis229,cyclosporine
Guttate psoriasis230,methotrexate
Hypomyelination with atrophy of basal ganglia and cerebellum231,diazepam
Hypomyelination with atrophy of basal ganglia and cerebellum232,baclofen
Pantothenate kinase-associated neurodegeneration233,baclofen
Hashimoto's encephalitis234,cyclophosphamide
Sickle beta thalassemia235,Hydroxyurea
Progressive hemifacial atrophy236,Cyclophosphamide
Progressive hemifacial atrophy237,Methotrexate
Wilson disease238,copper
"Hereditary endotheliopathy, retinopathy, nephropathy, and stroke239",aspirin
Hereditary hemorrhagic telangiectasia240,aspirin
Hypereosinophilic syndrome241,hydroxyurea
Progeria242,Nitroglycerin
Progeria243,Nitroglycerin
Progeria244,Nitroglycerin
X-linked hypophosphatemia245,calcitriol
X-linked hypophosphatemia246,Calcitriol
Lipoid proteinosis of Urbach and Wiethe247,penicillamine
Lipoid proteinosis of Urbach and Wiethe248,penicillamine
Alkaptonuria249,amino acids
Alkaptonuria250,amino acids
Alkaptonuria251,amino acids
Alkaptonuria252,amino acids
Alkaptonuria253,amino acids
Alkaptonuria254,amino acids
Alkaptonuria255,amino acids
Alkaptonuria256,amino acids
Alkaptonuria257,amino acids
Alkaptonuria258,amino acids
Alkaptonuria259,amino acids
Osteopetrosis260,calcitriol
Schimke immunoosseous dysplasia261,Acyclovir
Pars planitis262,aspirin
Pars planitis263,methotrexate
Kawasaki disease264,Aspirin
Klinefelter syndrome265,testosterone
Klinefelter syndrome266,testosterone
Klinefelter syndrome267,Testosterone
Klinefelter syndrome268,Testosterone
Lichen planus pigmentosus269,Dapsone
Limbic encephalitis270,cyclophosphamide
Tardive dyskinesia271,clozapine
Livedoid vasculopathy272,aspirin
Livedoid vasculopathy273,Iloprost
Pustulosis palmaris et plantaris274,cyclosporine
Nocardiosis275,linezolid
Nocardiosis276,meropenem
Nocardiosis277,Linezolid
Lymphomatoid papulosis278,cyclophosphamide
Lymphomatoid papulosis279,methotrexate
Lymphomatoid papulosis280,carmustine
Lymphomatoid papulosis281,carmustine
Lymphomatoid papulosis282,Chlorambucil
Lymphomatoid papulosis283,Dapsone
Alopecia universalis284,cyclosporine
Meningioma285,hydroxyurea
MTHFR gene variant286,fenofibrate
MTHFR gene variant287,methotrexate
Microscopic polyangiitis288,cyclophosphamide
Microscopic polyangiitis289,methotrexate
Multifocal motor neuropathy290,cyclophosphamide
Stiff person syndrome291,diazepam
Stiff person syndrome292,baclofen
Stiff person syndrome293,Baclofen
Morphea294,methotrexate
Moyamoya disease295,aspirin
Multicentric reticulohistiocytosis296,aspirin
Multicentric reticulohistiocytosis297,chlorambucil
Multicentric reticulohistiocytosis298,cyclophosphamide
Multicentric reticulohistiocytosis299,methotrexate
Multifocal choroiditis300,cyclosporine
Steatocystoma multiplex301,tretinoin
Steatocystoma multiplex302,tretinoin
Nodular nonsuppurative panniculitis303,cyclophosphamide
Ocular toxoplasmosis304,pyrimethamine
Oncogenic osteomalacia305,calcitriol
Oral lichen planus306,tretinoin
Oral lichen planus307,chlorothiazide
Oral lichen planus308,tretinoin
Oral lichen planus309,Cyclophosphamide
Oral lichen planus310,Dapsone
Oral lichen planus311,Metronidazole
Ovarian small cell carcinoma312,cyclophosphamide
Polyarteritis nodosa313,cyclophosphamide
Pelizaeus-Merzbacher disease314,diazepam
Pelizaeus-Merzbacher disease315,baclofen
Pemphigus316,cyclophosphamide
Pemphigus317,cyclosporine
Pemphigus318,methotrexate
Pemphigus vulgaris319,dapsone
Pemphigus vulgaris320,methotrexate
Pityriasis rubra pilaris321,cyclosporine
Pityriasis rubra pilaris322,tazarotene
Pityriasis rubra pilaris323,tazarotene
Pityriasis rubra pilaris324,tretinoin
Pityriasis rubra pilaris325,tretinoin
Pityriasis rubra pilaris326,Methotrexate
Platelet storage pool deficiency327,aspirin
Porokeratosis of Mibelli328,fluorouracil
Porokeratosis of Mibelli329,tretinoin
Porokeratosis of Mibelli330,tretinoin
Punctate porokeratosis331,fluorouracil
Punctate porokeratosis332,tretinoin
Punctate porokeratosis333,tretinoin
Sheehan syndrome334,progesterone
Susac syndrome335,aspirin
Susac syndrome336,cyclophosphamide
