Ingredient,Approved NDA,Dosage Form
ACETAMINOPHEN,N204767,SOLUTION
ACETYLCHOLINE CHLORIDE,N020213,FOR SOLUTION
ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE,N019806,CAPSULE
ACYCLOVIR,N021478,CREAM
ALBENDAZOLE,N020666,TABLET
ALBUTEROL SULFATE,N020503,"AEROSOL, METERED"
ALENDRONATE SODIUM; CHOLECALCIFEROL,N021762,TABLET
ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,N021559,INJECTABLE
BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,N021163,INJECTABLE
ALPROSTADIL,N020700,SUPPOSITORY
AMINO ACIDS,N020015,INJECTABLE
AMINO ACIDS,N017766,INJECTABLE
AMINO ACIDS,N019438,INJECTABLE
AMINO ACIDS,N019374,INJECTABLE
AMINO ACIDS,N019492,INJECTABLE
AMINO ACIDS,N018429,INJECTABLE
AMINO ACIDS,N019398,INJECTABLE
AMINO ACIDS,N019018,INJECTABLE
AMINO ACIDS,N018931,INJECTABLE
AMINO ACIDS,N020849,INJECTABLE
AMINO ACIDS,N020041,INJECTABLE
"AMINO ACIDS; CALCIUM ACETATE; GLYCERIN;
MAGNESIUM ACETATE; PHOSPHORIC ACID;
POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM
CHLORIDE",N018582,INJECTABLE
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE;
MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE,
DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",N020678,INJECTABLE
AMINO ACIDS; DEXTROSE,N020734,INJECTABLE
"AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC
ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE;
SODIUM ACETATE",N016822,INJECTABLE
"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM
CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM
CHLORIDE",N019437,INJECTABLE
"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM
PHOSPHATE, DIBASIC; SODIUM CHLORIDE",N017673,INJECTABLE
"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM
PHOSPHATE, DIBASIC; SODIUM CHLORIDE",N017789,INJECTABLE
AMINOCAPROIC ACID,N015197,TABLET
AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE,N050824,"CAPSULE, TABLET, CAPSULE,
DELAYED RELEASE"
AMPHOTERICIN B,N050740,"INJECTABLE, LIPOSOMAL"
APOMORPHINE HYDROCHLORIDE,N021264,INJECTABLE
APRACLONIDINE HYDROCHLORIDE,N019779,SOLUTION/DROPS
ARGATROBAN,N206769,INJECTABLE
ARGATROBAN,N203049,INJECTABLE
ARGININE HYDROCHLORIDE,N016931,INJECTABLE
ARTEMETHER; LUMEFANTRINE,N022268,TABLET
"ARTICAINE HYDROCHLORIDE; EPINEPHRINE
BITARTRATE",N022466,INJECTABLE
"ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL;
CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID;
NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE;
TOCOPHEROL ACETATE; VITAMIN A; VITAMIN K",N021265,INJECTABLE
"ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL;
CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID;
NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE;
TOCOPHEROL ACETATE; VITAMIN A; VITAMIN K",N021646,INJECTABLE
ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PHYTONADIONE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E,N018920,FOR SOLUTION
ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E; VITAMIN K,N021625,INJECTABLE
ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E; VITAMIN K,N021643,INJECTABLE
ASPIRIN,N200671,"CAPSULE, EXTENDED RELEASE"
ASPIRIN; CAFFEINE; DIHYDROCODEINE BITARTRATE,N011483,CAPSULE
ATROPINE SULFATE,N208151,SOLUTION/DROPS
ATROPINE SULFATE,N206289,SOLUTION/DROPS
ATROPINE SULFATE,N021146,SOLUTION
ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE,N017744,TABLET
ATROPINE SULFATE; EDROPHONIUM CHLORIDE,N019678,INJECTABLE
AURANOFIN,N018689,CAPSULE
AZELAIC ACID,N020428,CREAM
AZTREONAM,N050632,INJECTABLE
BARIUM SULFATE,N208036,FOR SUSPENSION
BARIUM SULFATE,N208143,SUSPENSION
BARIUM SULFATE,N208844,PASTE
BENZOYL PEROXIDE; ERYTHROMYCIN,N050769,GEL
BENZYLPENICILLOYL POLYLYSINE,N050114,INJECTABLE
BETAINE HYDROCHLORIDE,N020576,FOR SOLUTION
BETAXOLOL HYDROCHLORIDE,N019845,SUSPENSION/DROPS
BOSENTAN,N021290,TABLET
BRINZOLAMIDE,N020816,SUSPENSION/DROPS
BUPRENORPHINE,N021306,"FILM, EXTENDED RELEASE"
BUSULFAN,N009386,TABLET
BUTENAFINE HYDROCHLORIDE,N020524,CREAM
"CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID;
MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE;
SODIUM BICARBONATE; SODIUM CHLORIDE",N021703,INJECTABLE
"CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM
CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE",N017512,SOLUTION
"CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM
CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE",N020183,SOLUTION
"CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM
SULFATE; POTASSIUM CHLORIDE; SODIUM
BICARBONATE; SODIUM CHLORIDE; SODIUM
PHOSPHATE, DIBASIC, HEPTAHYDRATE",N020577,INJECTABLE
"CALCIUM CHLORIDE; DEXTROSE; POTASSIUM
CHLORIDE; SODIUM CHLORIDE",N020000,INJECTABLE
"CALCIUM CHLORIDE; DEXTROSE; POTASSIUM
CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE",N019367,INJECTABLE
"CALCIUM CHLORIDE; DEXTROSE; POTASSIUM
CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE",N019634,INJECTABLE
"CALCIUM CHLORIDE; MAGNESIUM CHLORIDE;
POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM
CHLORIDE",N018895,INJECTABLE
CAPREOMYCIN SULFATE,N050095,INJECTABLE
CARBOPROST TROMETHAMINE,N017989,INJECTABLE
CARGLUMIC ACID,N022562,TABLET
CEFAZOLIN SODIUM,N207131,SOLUTION
CEFAZOLIN SODIUM,N050779,INJECTABLE
CEFEPIME HYDROCHLORIDE,N050817,INJECTABLE
CEFIXIME,N203195,CAPSULE
CEFTAZIDIME,N050823,INJECTABLE
CEFUROXIME SODIUM,N050643,INJECTABLE
CHLORAMBUCIL,N010669,TABLET
